"INDIVIDUAL_ID","MONTANDONI","VULGARIS","MARKER","SPECIES","CLEAR","HYBRID_ZONE"
"10093",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10095",0.997296,0.00270400000000004,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10096",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10099",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10100",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10101",0.99738,0.00261999999999996,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10103",0.994372,0.00562799999999997,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10106",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10107",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10109",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10110",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10111",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10112",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10114",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10116",0.987696,0.012304,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10118",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10119",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10121",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10122",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10124",0.998781,0.00121899999999997,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10125",0.998325,0.00167499999999998,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10126",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10127",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10128",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10129",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10130",0.998347,0.00165300000000002,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10139",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10140",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10141",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10142",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10143",0.999324,0.00067600000000001,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10144",0.996239,0.00376100000000001,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10145",0.99839,0.00161,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10146",0.995054,0.00494600000000001,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10147",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10148",0.9992598,0.000740199999999969,"inferred","montandoni",TRUE,"montandoni_vulgaris"
"10149",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10150",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10151",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10152",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10153",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10155",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10159",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10160",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10161",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10164",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10165",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10166",0.994725,0.00527500000000003,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10167",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10168",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10169",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10170",0.998751,0.00124899999999994,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10171",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10172",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10173",0.998454,0.00154600000000005,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"10174",0.99999,9.99999999995449e-06,"2849 SNP","montandoni",TRUE,"montandoni_vulgaris"
"1458",1.0285325206555e-05,0.999989714674793,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1459",1.0285325206555e-05,0.999989714674793,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1460",1.0285325206555e-05,0.999989714674793,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1468",1.0285325206555e-05,0.999989714674793,"> 20000 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"1469",1.0285325206555e-05,0.999989714674793,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1470",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1471",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1473",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1474",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1482",0,1,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1527",1.03154995538546e-05,0.999989684500446,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1528",1.03154995538546e-05,0.999989684500446,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1529",1.03154995538546e-05,0.999989684500446,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
"1530",1.03154995538546e-05,0.999989684500446,"inferred","vulgaris",TRUE,"montandoni_vulgaris"
