"INDIVIDUAL_ID","MARKER","BOMBINA","VARIEGATA","SPECIES","CLEAR","HYBRID_ZONE"
"22760","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22634","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22639","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22648","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22650","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22654","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22272","1883_SNP",0.993,0.00700000000000001,"bombina",TRUE,"bombina_variegata"
"22273","1883_SNP",0.998,0.002,"bombina",TRUE,"bombina_variegata"
"22274","1883_SNP",0.99,0.01,"bombina",TRUE,"bombina_variegata"
"22276","1883_SNP",0.996,0.004,"bombina",TRUE,"bombina_variegata"
"22277","1883_SNP",0.995,0.005,"bombina",TRUE,"bombina_variegata"
"22278","1883_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22279","1883_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22280","1883_SNP",0.998,0.002,"bombina",TRUE,"bombina_variegata"
"22281","1883_SNP",0.995,0.005,"bombina",TRUE,"bombina_variegata"
"22282","1883_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22283","1883_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22284","1883_SNP",0.997,0.003,"bombina",TRUE,"bombina_variegata"
"22285","1883_SNP",0.991,0.00900000000000001,"bombina",TRUE,"bombina_variegata"
"22743","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22744","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22755","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22754","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22332","1883_SNP",0.008,0.992,"variegata",TRUE,"bombina_variegata"
"22333","1883_SNP",0.007,0.993,"variegata",TRUE,"bombina_variegata"
"22334","1883_SNP",0.006,0.994,"variegata",TRUE,"bombina_variegata"
"22335","inferred",0.00614285714285714,0.993857142857143,"variegata",TRUE,"bombina_variegata"
"22336","1883_SNP",0.006,0.994,"variegata",TRUE,"bombina_variegata"
"22337","1883_SNP",0.012,0.988,"variegata",TRUE,"bombina_variegata"
"22338","1883_SNP",0.003,0.997,"variegata",TRUE,"bombina_variegata"
"22339","1883_SNP",0.001,0.999,"variegata",TRUE,"bombina_variegata"
"22201","653_SNP",0.973,0.027,"bombina",TRUE,"bombina_variegata"
"22215","653_SNP",0.991,0.00900000000000001,"bombina",TRUE,"bombina_variegata"
"22216","653_SNP",0.999,0.001,"bombina",TRUE,"bombina_variegata"
"22217","653_SNP",0.989,0.011,"bombina",TRUE,"bombina_variegata"
"22218","653_SNP",0.981,0.019,"bombina",TRUE,"bombina_variegata"
"22229","653_SNP",0.949,0.051,"bombina",FALSE,"bombina_variegata"
"22230","653_SNP",0.984,0.016,"bombina",TRUE,"bombina_variegata"
"22231","653_SNP",0.983,0.017,"bombina",TRUE,"bombina_variegata"
"22241","653_SNP",0.99,0.01,"bombina",TRUE,"bombina_variegata"
"22242","653_SNP",0.995,0.005,"bombina",TRUE,"bombina_variegata"
"22243","653_SNP",0.996,0.004,"bombina",TRUE,"bombina_variegata"
"22244","653_SNP",0.992,0.00800000000000001,"bombina",TRUE,"bombina_variegata"
"22245","653_SNP",0.992,0.00800000000000001,"bombina",TRUE,"bombina_variegata"
"22246","653_SNP",0.985,0.015,"bombina",TRUE,"bombina_variegata"
"22247","653_SNP",0.997,0.003,"bombina",TRUE,"bombina_variegata"
"22747","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22748","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22684","1883_SNP",0.014,0.986,"variegata",TRUE,"bombina_variegata"
"22685","1883_SNP",0.019,0.981,"variegata",TRUE,"bombina_variegata"
"22686","1883_SNP",0.019,0.981,"variegata",TRUE,"bombina_variegata"
"22687","1883_SNP",0.031,0.969,"variegata",FALSE,"bombina_variegata"
"22688","1883_SNP",0.019,0.981,"variegata",TRUE,"bombina_variegata"
"22691","inferred",0.0204,0.9796,"variegata",TRUE,"bombina_variegata"
"22693","inferred",0.0204,0.9796,"variegata",TRUE,"bombina_variegata"
"22446","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22450","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22451","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22452","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22453","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22756","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22761","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22764","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22202","653_SNP",0.056,0.944,"variegata",FALSE,"bombina_variegata"
"22203","653_SNP",0.08,0.92,"variegata",FALSE,"bombina_variegata"
"22204","653_SNP",0.193,0.807,"variegata",FALSE,"bombina_variegata"
"22205","653_SNP",0.031,0.969,"variegata",FALSE,"bombina_variegata"
"22206","653_SNP",0.059,0.941,"variegata",FALSE,"bombina_variegata"
"22207","653_SNP",0.053,0.947,"variegata",FALSE,"bombina_variegata"
"22208","653_SNP",0.101,0.899,"variegata",FALSE,"bombina_variegata"
"22209","653_SNP",0.045,0.955,"variegata",FALSE,"bombina_variegata"
"22210","653_SNP",0.095,0.905,"variegata",FALSE,"bombina_variegata"
"22211","653_SNP",0.057,0.943,"variegata",FALSE,"bombina_variegata"
"22212","653_SNP",0.091,0.909,"variegata",FALSE,"bombina_variegata"
"22213","653_SNP",0.057,0.943,"variegata",FALSE,"bombina_variegata"
"22750","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22749","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22762","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22183","653_SNP",0.849,0.151,"bombina",FALSE,"bombina_variegata"
"22184","653_SNP",0.94,0.0600000000000001,"bombina",FALSE,"bombina_variegata"
"22185","653_SNP",0.97,0.03,"bombina",TRUE,"bombina_variegata"
"22186","653_SNP",0.935,0.065,"bombina",FALSE,"bombina_variegata"
"22187","653_SNP",0.929,0.071,"bombina",FALSE,"bombina_variegata"
"22188","653_SNP",0.936,0.0639999999999999,"bombina",FALSE,"bombina_variegata"
"22189","653_SNP",0.939,0.0610000000000001,"bombina",FALSE,"bombina_variegata"
"22190","653_SNP",0.918,0.082,"bombina",FALSE,"bombina_variegata"
"22191","653_SNP",0.939,0.0610000000000001,"bombina",FALSE,"bombina_variegata"
"22192","653_SNP",0.968,0.032,"bombina",FALSE,"bombina_variegata"
"22193","653_SNP",0.972,0.028,"bombina",TRUE,"bombina_variegata"
"22194","653_SNP",0.962,0.038,"bombina",FALSE,"bombina_variegata"
"22699","1883_SNP",0.004,0.996,"variegata",TRUE,"bombina_variegata"
"22698","1883_SNP",0.009,0.991,"variegata",TRUE,"bombina_variegata"
