"HYBRID_ZONE","CLASS","XS","YS","INTERVAL_TYPE","MIN_YS","MAX_YS","ALPHA","BETA"
"anatolicus_ivanbureschi","I","0",0,"95","0","0",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0",0,"LL","0","0",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.01",0.0287113772110938,"95","0.0136124776296924","0.0438118336296924",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.01",0.0287113772110938,"LL","0.01324931172148","0.04213394772148",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.02",0.0568375288273058,"95","0.0273519659098595","0.0863260139098595",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.02",0.0568375288273058,"LL","0.02664309601984","0.08307698401984",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.03",0.0843847982560175,"95","0.0412123426977506","0.127561354697751",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.03",0.0843847982560175,"LL","0.04017492079596","0.12284569279596",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.04",0.11135952890461,"95","0.0551874858506146","0.167536669850615",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.04",0.11135952890461,"LL","0.05383835395072","0.16145665795072",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.05",0.137768064180465,"95","0.0692712732257008","0.206270773225701",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.05",0.137768064180465,"LL","0.067626963385","0.198926463385",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.06",0.163616747490963,"95","0.0834575826802582","0.243782478680258",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.06",0.163616747490963,"LL","0.08153431699968","0.23527169299968",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.07",0.188911922243486,"95","0.097740292071536","0.280090600071536",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.07",0.188911922243486,"LL","0.09555398269564","0.27050893069564",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.08",0.213659931845415,"95","0.112113279256783","0.315213951256783",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.08",0.213659931845415,"LL","0.10967952837376","0.30465476037376",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.09",0.237867119704131,"95","0.126570422093249","0.349171346093249",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.09",0.237867119704131,"LL","0.12390452193492","0.33772576593492",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.1",0.261539829227016,"95","0.141105598438182","0.381981598438182",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.1",0.261539829227016,"LL","0.13822253128","0.36973853128",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.11",0.284684403821451,"95","0.155712686148832","0.413663522148832",0.685996582995871,-0.264308640887216
"anatolicus_ivanbureschi","I","0.11",0.284684403821451,"LL","0.15262712430988","0.40070964030988",0.685996582995871,-0.264308640887216
