"HYBRID_ZONE","CLASS","XS","YS","INTERVAL_TYPE","MIN_YS","MAX_YS","ALPHA","BETA"
"nuchalis_ruber","I","0",0,"95","0","0",-0.208585402156596,-1
"nuchalis_ruber","I","0",0,"LL","0","0",-0.208585402156596,-1
"nuchalis_ruber","I","0.01",0.0252740090372994,"95","0.0144856361873153","0.0360521921873153",-0.208585402156596,-1
"nuchalis_ruber","I","0.01",0.0252740090372994,"LL","0.01941688198","0.02796533398",-0.208585402156596,-1
"nuchalis_ruber","I","0.02",0.0494554522354614,"95","0.0284255323462488","0.0704651803462488",-0.208585402156596,-1
"nuchalis_ruber","I","0.02",0.0494554522354614,"LL","0.03798731592","0.05478373192",-0.208585402156596,-1
"nuchalis_ruber","I","0.03",0.0725683295944861,"95","0.0418336207558468","0.103273032755847",-0.208585402156596,-1
"nuchalis_ruber","I","0.03",0.0725683295944861,"LL","0.05573138982","0.08047919382",-0.208585402156596,-1
"nuchalis_ruber","I","0.04",0.0946366411143734,"95","0.0547238336951554","0.134509817695155",-0.208585402156596,-1
"nuchalis_ruber","I","0.04",0.0946366411143734,"LL","0.07266919168","0.10507571968",-0.208585402156596,-1
"nuchalis_ruber","I","0.05",0.115684386795123,"95","0.0671101034432206","0.164209603443221",-0.208585402156596,-1
"nuchalis_ruber","I","0.05",0.115684386795123,"LL","0.0888208095","0.1285973095",-0.208585402156596,-1
"nuchalis_ruber","I","0.06",0.135735566636736,"95","0.0790063622790886","0.192406458279089",-0.208585402156596,-1
"nuchalis_ruber","I","0.06",0.135735566636736,"LL","0.10420633128","0.15106796328",-0.208585402156596,-1
"nuchalis_ruber","I","0.07",0.154814180639211,"95","0.0904265424818056","0.219134450481806",-0.208585402156596,-1
"nuchalis_ruber","I","0.07",0.154814180639211,"LL","0.11884584502","0.17251168102",-0.208585402156596,-1
"nuchalis_ruber","I","0.08",0.172944228802549,"95","0.101384576330418","0.244427648330418",-0.208585402156596,-1
"nuchalis_ruber","I","0.08",0.172944228802549,"LL","0.13275943872","0.19295246272",-0.208585402156596,-1
"nuchalis_ruber","I","0.09",0.19014971112675,"95","0.111894396103971","0.268320120103971",-0.208585402156596,-1
"nuchalis_ruber","I","0.09",0.19014971112675,"LL","0.14596720038","0.21241430838",-0.208585402156596,-1
"nuchalis_ruber","I","0.1",0.206454627611813,"95","0.121969934081511","0.290845934081511",-0.208585402156596,-1
"nuchalis_ruber","I","0.1",0.206454627611813,"LL","0.158489218","0.230921218",-0.208585402156596,-1
"nuchalis_ruber","I","0.11",0.221882978257739,"95","0.131625122542085","0.312039158542085",-0.208585402156596,-1
"nuchalis_ruber","I","0.11",0.221882978257739,"LL","0.17034557958","0.24849719158",-0.208585402156596,-1
"nuchalis_ruber","I","0.12",0.236458763064527,"95","0.140873893764738","0.331933861764738",-0.208585402156596,-1
"nuchalis_ruber","I","0.12",0.236458763064527,"LL","0.18155637312","0.26516622912",-0.208585402156596,-1
"nuchalis_ruber","I","0.13",0.250205982032178,"95","0.149730180028517","0.350564112028517",-0.208585402156596,-1
"nuchalis_ruber","I","0.13",0.250205982032178,"LL","0.19214168662","0.28095233062",-0.208585402156596,-1
"nuchalis_ruber","I","0.14",0.263148635160692,"95","0.158207913612468","0.367963977612468",-0.208585402156596,-1
"nuchalis_ruber","I","0.14",0.263148635160692,"LL","0.20212160808","0.29587949608",-0.208585402156596,-1
"nuchalis_ruber","I","0.15",0.275310722450068,"95","0.166321026795637","0.384167526795637",-0.208585402156596,-1
"nuchalis_ruber","I","0.15",0.275310722450068,"LL","0.2115162255","0.3099717255",-0.208585402156596,-1
"nuchalis_ruber","I","0.16",0.286716243900307,"95","0.174083451857069","0.399208827857069",-0.208585402156596,-1
"nuchalis_ruber","I","0.16",0.286716243900307,"LL","0.22034562688","0.32325301888",-0.208585402156596,-1
"nuchalis_ruber","I","0.17",0.297389199511409,"95","0.181509121075812","0.413121949075812",-0.208585402156596,-1
"nuchalis_ruber","I","0.17",0.297389199511409,"LL","0.22862990022","0.33574737622",-0.208585402156596,-1
"nuchalis_ruber","I","0.18",0.307353589283373,"95","0.188611966730911","0.425940958730911",-0.208585402156596,-1
"nuchalis_ruber","I","0.18",0.307353589283373,"LL","0.23638913352","0.34747879752",-0.208585402156596,-1
"nuchalis_ruber","I","0.19",0.3166334132162,"95","0.195405921101412","0.437699925101412",-0.208585402156596,-1
"nuchalis_ruber","I","0.19",0.3166334132162,"LL","0.24364341478","0.35847128278",-0.208585402156596,-1
"nuchalis_ruber","I","0.2",0.325252671309889,"95","0.201904916466362","0.448432916466362",-0.208585402156596,-1
"nuchalis_ruber","I","0.2",0.325252671309889,"LL","0.250412832","0.368748832",-0.208585402156596,-1
"nuchalis_ruber","I","0.21",0.333235363564441,"95","0.208122885104807","0.458174001104807",-0.208585402156596,-1
"nuchalis_ruber","I","0.21",0.333235363564441,"LL","0.25671747318","0.37833544518",-0.208585402156596,-1
"nuchalis_ruber","I","0.22",0.340605489979856,"95","0.214073759295792","0.466957247295792",-0.208585402156596,-1
"nuchalis_ruber","I","0.22",0.340605489979856,"LL","0.26257742632","0.38725512232",-0.208585402156596,-1
"nuchalis_ruber","I","0.23",0.347387050556134,"95","0.219771471318364","0.474816723318364",-0.208585402156596,-1
"nuchalis_ruber","I","0.23",0.347387050556134,"LL","0.26801277942","0.39553186342",-0.208585402156596,-1
"nuchalis_ruber","I","0.24",0.353604045293274,"95","0.225229953451569","0.481786497451569",-0.208585402156596,-1
"nuchalis_ruber","I","0.24",0.353604045293274,"LL","0.27304362048","0.40318966848",-0.208585402156596,-1
"nuchalis_ruber","I","0.25",0.359280474191277,"95","0.230463137974453","0.487900637974453",-0.208585402156596,-1
"nuchalis_ruber","I","0.25",0.359280474191277,"LL","0.2776900375","0.4102525375",-0.208585402156596,-1
"nuchalis_ruber","I","0.26",0.364440337250142,"95","0.235484957166063","0.493193213166063",-0.208585402156596,-1
"nuchalis_ruber","I","0.26",0.364440337250142,"LL","0.28197211848","0.41674447048",-0.208585402156596,-1
"nuchalis_ruber","I","0.27",0.36910763446987,"95","0.240309343305444","0.497698291305444",-0.208585402156596,-1
"nuchalis_ruber","I","0.27",0.36910763446987,"LL","0.28590995142","0.42268946742",-0.208585402156596,-1
"nuchalis_ruber","I","0.28",0.373306365850461,"95","0.244950228671642","0.501449940671642",-0.208585402156596,-1
"nuchalis_ruber","I","0.28",0.373306365850461,"LL","0.28952362432","0.42811152832",-0.208585402156596,-1
"nuchalis_ruber","I","0.29",0.377060531391914,"95","0.249421545543704","0.504482229543704",-0.208585402156596,-1
"nuchalis_ruber","I","0.29",0.377060531391914,"LL","0.29283322518","0.43303465318",-0.208585402156596,-1
"nuchalis_ruber","I","0.3",0.38039413109423,"95","0.253737226200675","0.506829226200675",-0.208585402156596,-1
"nuchalis_ruber","I","0.3",0.38039413109423,"LL","0.295858842","0.437482842",-0.208585402156596,-1
"nuchalis_ruber","I","0.31",0.383331164957408,"95","0.257911202921603","0.508524998921603",-0.208585402156596,-1
"nuchalis_ruber","I","0.31",0.383331164957408,"LL","0.29862056278","0.44148009478",-0.208585402156596,-1
"nuchalis_ruber","I","0.32",0.385895632981449,"95","0.261957407985532","0.509603615985532",-0.208585402156596,-1
"nuchalis_ruber","I","0.32",0.385895632981449,"LL","0.30113847552","0.44505041152",-0.208585402156596,-1
"nuchalis_ruber","I","0.33",0.388111535166353,"95","0.265889773671509","0.510099145671509",-0.208585402156596,-1
"nuchalis_ruber","I","0.33",0.388111535166353,"LL","0.30343266822","0.44821779222",-0.208585402156596,-1
"nuchalis_ruber","I","0.34",0.39000287151212,"95","0.269722232258581","0.510045656258581",-0.208585402156596,-1
"nuchalis_ruber","I","0.34",0.39000287151212,"LL","0.30552322888","0.45100623688",-0.208585402156596,-1
"nuchalis_ruber","I","0.35",0.391593642018749,"95","0.273468716025793","0.509477216025793",-0.208585402156596,-1
