"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"18963","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-Łyżwiarska-Borkowo"
"18964","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Łyżwiarska-Borkowo"
"18965","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Łyżwiarska-Borkowo"
"18966","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"18967","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"18968","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"18969","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"18970","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"19032","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19033","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19034","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19035","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19036","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19037","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19038","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19039","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19040","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19041","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19042","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.996,"VULGARIS",1,"Gdańsk-Chwarzno-Wiczlino"
"19046","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Jezioro-Kackie"
"19047","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Jezioro-Kackie"
"19048","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Jezioro-Kackie"
"19049","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Jezioro-Kackie"
"19050","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Jezioro-Kackie"
"19322","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"19323","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Zakoniczyn"
"19324","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19325","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19326","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19327","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19328","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19329","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19330","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19331","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19332","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19333","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19335","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19336","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19338","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19339","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19340","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19341","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Gdańsk-Taneczna"
"19347","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19348","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19349","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19350","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19351","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19352","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19353","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19354","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19355","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19356","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19357","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19358","vulgaris","II","montandoni_vulgarisOUT","vulgaris",0.887,"VULGARIS",1,"Kraków-Park-Wenedy"
"19359","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19360","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19361","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19362","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
"19363","vulgaris","II","montandoni_vulgarisOUT","vulgaris",1,"VULGARIS",1,"Kraków-Park-Wenedy"
