"HYBRID_ZONE","CLASS","VALUE","UPPER_95","LOWER_95","PARAMETERS","SE","N","LL","UPPER_2LL","LOWER_2LL"
"astreptophora_helvetica","I",0.163620996799496,0.201669694841637,0.125572298757356,"SD",0.0194126010419085,150,-77.0736973284004,0.208,0.131
"astreptophora_helvetica","I",-0.121554926017178,0.385223147249981,-0.628332999284337,"ALPHA",0.258560241462836,150,-77.0736973284004,0.2823498,-0.5326502
"astreptophora_helvetica","I",-1,0.0363972305549418,-2.03639723055494,"BETA",0.528774097221909,150,-77.0736973284004,-0.568,-1
"astreptophora_helvetica","II",0.0139335939470474,0.0171022058630612,0.0107649820310336,"SD",0.00161663873266012,145,104.328062724314,0.017,0.012
"astreptophora_helvetica","II",0.784871360903083,0.93673259893365,0.633010122872517,"ALPHA",0.0774802234849829,145,104.328062724314,0.94,0.63
"astreptophora_helvetica","II",-0.672614342899621,-0.368657113273936,-0.976571572525307,"BETA",0.155080219196779,145,104.328062724314,-0.362,-0.983
"helvetica_natrix","I",0.166558321477823,0.195663973611355,0.137452669344292,"SD",0.0148498225171079,255,-133.293991373137,0.199,0.141
"helvetica_natrix","I",0.488349023504542,0.889547333606621,0.087150713402463,"ALPHA",0.204693015358204,255,-133.293991373137,0.896349,0.086349
"helvetica_natrix","I",-1,-0.159038834583583,-1.84096116541642,"BETA",0.429061819090009,255,-133.293991373137,-0.6,-1
"helvetica_natrix","II",0.0668871155389665,0.0787911876492748,0.0549830434286582,"SD",0.00607350617872871,248,-16.4902542962756,0.08,0.057
"helvetica_natrix","II",0.2549829981248,0.522033677402355,-0.0120676811527553,"ALPHA",0.136250346570181,248,-16.4902542962756,0.52458707,-0.01441293
"helvetica_natrix","II",-1,-0.426918100712887,-1.57308189928711,"BETA",0.292388724126078,248,-16.4902542962756,-0.73,-1
