"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"montandoni_vulgarisR2","HI","width",39.9559832443594,"main"
"montandoni_vulgarisR2","HI","pMin",0.6809,"main"
"montandoni_vulgarisR2","HI","pMax",0.98275,"main"
"montandoni_vulgarisR2","HI","center",33.275029607826,"high"
"montandoni_vulgarisR2","HI","center",47.170594248917,"low"
"montandoni_vulgarisR2","HI","width",22.173389248462,"high"
"montandoni_vulgarisR2","HI","width",78.9565356191454,"low"
"montandoni_vulgarisR2","HII","center",39.1744592934113,"main"
"montandoni_vulgarisR2","HII","width",0.0858163637373415,"main"
"montandoni_vulgarisR2","HII","pMin",0.614676312120595,"main"
"montandoni_vulgarisR2","HII","pMax",0.942198541961071,"main"
"montandoni_vulgarisR2","HII","center",38.8984674209988,"high"
"montandoni_vulgarisR2","HII","center",43.1742588886201,"low"
"montandoni_vulgarisR2","HII","width",0.000723380598486978,"high"
"montandoni_vulgarisR2","HII","width",7.34187087300367,"low"
"montandoni_vulgarisR2","HII","pMin",0.56466002222009,"high"
"montandoni_vulgarisR2","HII","pMin",0.66566575332405,"low"
"montandoni_vulgarisR2","HII","pMax",0.889184857510869,"high"
"montandoni_vulgarisR2","HII","pMax",0.97579344430621,"low"
"montandoni_vulgarisR2","Q2","center",61.5289190314095,"main"
"montandoni_vulgarisR2","Q2","width",149.678877184364,"main"
"montandoni_vulgarisR2","Q2","pMin",0.0843333333333333,"main"
"montandoni_vulgarisR2","Q2","pMax",0.503,"main"
"montandoni_vulgarisR2","Q2","center",47.6200357259326,"high"
"montandoni_vulgarisR2","Q2","center",343.179912050211,"low"
"montandoni_vulgarisR2","Q2","width",59.42670367313,"high"
"montandoni_vulgarisR2","Q2","width",1649.53120710108,"low"
"montandoni_vulgarisR2","genomic","center",38.3709783347641,"main"
"montandoni_vulgarisR2","genomic","width",6.87090536883427,"main"
"montandoni_vulgarisR2","genomic","pMin",0.048642395300202,"main"
"montandoni_vulgarisR2","genomic","pMax",0.948974462756048,"main"
"montandoni_vulgarisR2","genomic","center",36.6001182869371,"high"
"montandoni_vulgarisR2","genomic","center",39.7209782472155,"low"
"montandoni_vulgarisR2","genomic","width",3.59088672195762,"high"
"montandoni_vulgarisR2","genomic","width",12.6789495757319,"low"
"montandoni_vulgarisR2","genomic","pMin",0.0120687470323345,"high"
"montandoni_vulgarisR2","genomic","pMin",0.0895905181575554,"low"
"montandoni_vulgarisR2","genomic","pMax",0.896289956319939,"high"
