HYBRID_ZONE,LOCALITY,DISTANCE,H_INDEX_I,nSamples_H_I,H_INDEX_II,nSamples_H_II,Q_INDEX_I,nSamples_Q_I,Q_INDEX_II,nSamples_Q_II,genomic,nSamples_genomic
colchica_fragilisA,Ondřejov-Dlouhá-Loučka,611.2,88,1,55.3,1,97.5,1,38.8,1,43,1
colchica_fragilisA,Ostravice,480.3,0,1,8.5,1,2.8,1,0.7,1,0,1
colchica_fragilisA,Ostravice-2,478.9,16.8,1,32.6,1,1.2,1,1.9,1,0,1
colchica_fragilisA,Otice,545.2,18.5,1,25.8,1,3.7,1,1.9,1,4,1
colchica_fragilisA,Partutovice,556.9,67.1,2,32.3,2,52.35,2,2.1,2,5.00000000000001,2
colchica_fragilisA,Paseka,610.9,NA,NA,50.7,1,NA,NA,4.3,1,14,1
colchica_fragilisA,Petrov-Chlomek,926.3,93.6,1,100,1,97.6,1,97.3,1,98,1
colchica_fragilisA,Petrovice,597.9,41.58,5,39.24,5,21.08,5,19.12,5,28,5
colchica_fragilisA,Petříkov,640.2,73.3,1,91.9,1,78.6,1,97.4,1,81,1
colchica_fragilisA,Potštát,563.6,73.3,1,29.7,1,77,1,2.5,1,5,1
colchica_fragilisA,Praha-Cholupice,927.3,90.8,1,100,1,97.5,1,99.1,1,99,1
colchica_fragilisA,Praha-Cibulka,935.9,88.9,1,100,1,97.5,1,98.4,1,99,1
colchica_fragilisA,Praha-Divoká-Šárka,940.5,75.5,1,100,1,85.3,1,99,1,99,1
colchica_fragilisA,Praha-Modřany-3,925.5,100,1,100,1,98.1,1,98.5,1,99,1
colchica_fragilisA,Prostřední-Bečva,493.1,13.8,2,46.65,2,1.85,2,14.9,2,NA,NA
colchica_fragilisA,Protivanov,649.9,84.4,1,54.5,1,95.9,1,88.3,1,89,1
colchica_fragilisA,Průhonice,911,57.9,1,94.9,1,64.3,1,97.5,1,99,1
colchica_fragilisA,Rejchartice,580.3,5.8,1,61.8,1,1.3,1,5.3,1,5,1
colchica_fragilisA,Rosovický-hvozd,959.9,96.9666666666667,3,96.3,3,98.2,3,98.9,3,99.6666666666667,3
colchica_fragilisA,Roudno-1,583.8,48.4,1,37,1,55.3,1,2.1,1,9,1
colchica_fragilisA,Roudno-2,583.6,55.1,1,48.4,1,60,1,4.6,1,5,1
colchica_fragilisA,Rýmařov-Stránské,606.8,50.5333333333333,6,29.3666666666667,6,39.5166666666667,6,10.8166666666667,6,28.5,6
colchica_fragilisA,Slavkov-1,571.9,39.65,2,39.35,2,28.25,2,6.35,2,4.5,2
colchica_fragilisA,Slavkov-2,572.3,43.4,1,26.5,1,33.6,1,2.4,1,4,1
colchica_fragilisA,Slavkov-3,574,69.8,1,34.4,1,73.7,1,1.3,1,4,1
colchica_fragilisA,Sobotín,625.1,44.2,1,80.4,1,50.1,1,85.1,1,71,1
colchica_fragilisA,Sovinec,611.7,89.5,1,51.9,1,97.3,1,52.3,1,28,1
colchica_fragilisA,Stará-Ves,620.8,85.3,1,49.5,1,97.2,1,57.9,1,68,1
colchica_fragilisA,Staré-Město-Nová-Véska,598.2,39.97,10,43.41,10,24.65,10,11.86,10,13.4,10
colchica_fragilisA,Strašice,989.3,100,1,100,1,97.1,1,99.1,1,99,1
colchica_fragilisA,Stránské,606.8,47.4,1,48,1,41.1,1,13.2,1,28,1
colchica_fragilisA,Suchomasty,964.4,100,1,100,1,98.4,1,98.4,1,99,1
colchica_fragilisA,Svatý-Hostýn,553.2,19.3666666666667,3,31.6666666666667,3,17.7666666666667,3,2.1,3,0.666666666666667,3
colchica_fragilisA,Svitavy,692.5,80,1,84.6,1,97,1,95.1,1,93,1
colchica_fragilisA,Světlá-Hora,600.6,NA,NA,59.3,1,NA,NA,54.2,1,30,1
colchica_fragilisA,Teplice-nad-Bečvou,550.2,NA,NA,29.3,1,NA,NA,7.9,1,3,1
colchica_fragilisA,Tyra,454.1,0,1,6.9,1,1,1,1.3,1,1,1
colchica_fragilisA,Uherský-Brod,549.7,56.7,1,37.2,1,85.2,1,2.3,1,0,1
colchica_fragilisA,V-Pekle,565.9,54.1,1,26.5,1,46,1,1.3,1,4,1
colchica_fragilisA,Vajglov,602.4,68.5833333333333,6,38.2333333333333,6,65.8666666666667,6,2.71666666666667,6,9.66666666666667,6
colchica_fragilisA,Valšov,594.3,35.4,9,29.3,8,21.2888888888889,9,3.5875,8,6.22222222222222,9
colchica_fragilisA,Velká-Štáhle,602.5,13.2,1,21.4,1,1.1,1,1.3,1,16,1
colchica_fragilisA,Velká-Šťáhle,600.6,31.8,1,48.5,1,9,1,3.3,1,6.00000000000001,1
colchica_fragilisA,Velké-Dářko,754.7,95.6,1,85.4,1,98.9,1,98.1,1,98,1
colchica_fragilisA,Vidly,614.3,66.0666666666667,3,48.0333333333333,3,78.6666666666667,3,27.6333333333333,3,62,3
colchica_fragilisA,Vidnava,628.4,73.5,1,55.2,1,73.1,1,65.9,1,75,1
colchica_fragilisA,Vikantice,646.8,78.6,1,22.6,1,97.9,1,4.6,1,81,1
colchica_fragilisA,Vražné,539.7,54,1,7.5,1,47.6,1,2.9,1,4,1
colchica_fragilisA,Vyškovec,527.7,0,1,35.2,1,1.5,1,8.5,1,0,1
colchica_fragilisA,Vápenná,635.4,45.75,2,37.05,2,30.95,2,76.95,2,80,2
colchica_fragilisA,Zlaté-Hory-Dolní-Údolí,608.3,69.1,1,54.4,1,69.6,1,14.3,1,68,1
colchica_fragilisA,Zlaté-Hory-Maria-Hilf,603.2,57.3,1,43.4,1,50.8,1,28.2,1,40,1
colchica_fragilisA,Zlaté-Hory-Ondřejovice,608.2,58.8,1,59.7,1,62.3,1,64.5,1,62,1
colchica_fragilisA,Zlaté-Hory-Rejvíz,614.4,28.3,1,69.9,1,7.1,1,94.6,1,67,1
colchica_fragilisA,Čakovice,908.7,83.8,1,100,1,97.7,1,98.8,1,99,1
colchica_fragilisA,Čeladná,485,60.1,1,13,1,47,1,1.1,1,1,1
colchica_fragilisA,Čenkovice,675.9,50.6,1,66.8,1,38.9,1,82.6,1,87,1
colchica_fragilisA,Červená-Voda,674.5,84.5,1,72.3,1,97.2,1,96.7,1,93,1
colchica_fragilisA,Šternberk,603.3,NA,NA,45.7,1,NA,NA,5.9,1,17,1
colchica_fragilisA,Šternberk-2,603.2,38,1,28.7,1,15,1,1.3,1,23,1
colchica_fragilisA,Štramberk-1,512.4,29.3,1,5.3,1,10.9,1,1.5,1,0,1
colchica_fragilisA,Štramberk-2,509.8,42.4,5,32.26,5,39.94,5,3,5,0,5
colchica_fragilisA,Šumperk,643.9,75.5,1,83.6,1,89.6,1,96.1,1,82,1
colchica_fragilisA,Železná,605.2,51.4,1,50.4,1,28.8,1,11.4,1,46,1
colchica_fragilisA,Želízy-1,930.5,94.45,2,100,2,98.15,2,98.35,2,98.5,2
colchica_fragilisA,Želízy-2,933,100,1,100,1,98.2,1,98.9,1,100,1
