"INDIVIDUAL_ID","LOCALITY","COUNTRY","LATITUDE","N_S","LONGITUDE","E_W"
"17127","Zlaté-Hory-Rejvíz","Czech Republic",50.228,"N",17.29,"E"
"17128","Běleč-nad-Orlicí-1","Czech Republic",50.188,"N",15.947,"E"
"17129","Běleč-nad-Orlicí-2","Czech Republic",50.179,"N",15.915,"E"
"17130","Vidly","Czech Republic",50.11,"N",17.27,"E"
"17131","Vidly","Czech Republic",50.11,"N",17.27,"E"
"17132","Vidly","Czech Republic",50.11,"N",17.27,"E"
"17133","Heřmanovice-1","Czech Republic",50.209,"N",17.41,"E"
"17134","Břidličná","Czech Republic",49.92,"N",17.361,"E"
"17135","Fulnek","Czech Republic",49.715,"N",17.912,"E"
"17136","Odry-Dobešov-1","Czech Republic",49.673,"N",17.773,"E"
"17137","Libavá","Czech Republic",49.722,"N",17.528,"E"
"17138","Libavá","Czech Republic",49.722,"N",17.528,"E"
"17139","Libavá","Czech Republic",49.722,"N",17.528,"E"
"17140","Šternberk","Czech Republic",49.716,"N",17.302,"E"
"17141","Hraničné-Petrovice","Czech Republic",49.743,"N",17.41,"E"
"17142","Domašov-nad-Bystřicí","Czech Republic",49.743,"N",17.443,"E"
"17143","Rýmařov-Stránské","Czech Republic",49.903,"N",17.302,"E"
"17144","Rýmařov-Stránské","Czech Republic",49.903,"N",17.302,"E"
"17145","Rýmařov-Stránské","Czech Republic",49.903,"N",17.302,"E"
"17146","Velká-Šťáhle","Czech Republic",49.92,"N",17.361,"E"
"17147","Jívová","Czech Republic",49.705,"N",17.389,"E"
"17148","Jívová","Czech Republic",49.705,"N",17.389,"E"
"17149","Norberčany","Czech Republic",49.756,"N",17.506,"E"
"17150","Dvorce-Rejchartice","Czech Republic",49.813,"N",17.522,"E"
"17151","Moravský-Beroun","Czech Republic",49.791,"N",17.448,"E"
"17152","Moravský-Beroun-2","Czech Republic",49.786,"N",17.43,"E"
"17153","Moravský-Beroun-2","Czech Republic",49.786,"N",17.43,"E"
"17154","Jakubčovice-nad-Odrou","Czech Republic",49.693,"N",17.77,"E"
"17155","Křišťanovice-2","Czech Republic",49.852,"N",17.49,"E"
"17156","Sovinec","Czech Republic",49.835,"N",17.246,"E"
"17157","Paseka","Czech Republic",49.797,"N",17.247,"E"
"17158","Bukovany","Czech Republic",49.61,"N",17.358,"E"
"17159","Jánské-Koupele","Czech Republic",49.838,"N",17.703,"E"
"17160","Dětřichov-nad-Bystřicí","Czech Republic",49.835,"N",17.401,"E"
"17161","Dětřichov-nad-Bystřicí","Czech Republic",49.835,"N",17.401,"E"
"17162","Libavá","Czech Republic",49.722,"N",17.528,"E"
"17163","Jívová","Czech Republic",49.705,"N",17.389,"E"
"17164","Jívová","Czech Republic",49.705,"N",17.389,"E"
"17165","Potštát","Czech Republic",49.632,"N",17.646,"E"
"17166","Odry-Dobešov-2","Czech Republic",49.681,"N",17.768,"E"
"17167","Boškov","Czech Republic",49.621,"N",17.602,"E"
"17168","Boškov","Czech Republic",49.621,"N",17.602,"E"
"17169","Boškov","Czech Republic",49.621,"N",17.602,"E"
"17170","Slavkov-1","Czech Republic",49.589,"N",17.564,"E"
"17171","Slavkov-1","Czech Republic",49.589,"N",17.564,"E"
"17172","Slavkov-3","Czech Republic",49.589,"N",17.545,"E"
"17173","V-Pekle","Czech Republic",49.579,"N",17.616,"E"
"17174","Kamenný-žleb","Czech Republic",49.586,"N",17.615,"E"
"17175","Malinový-žleb","Czech Republic",49.594,"N",17.608,"E"
"17176","Boňkov-1","Czech Republic",49.609,"N",17.666,"E"
"17177","Boňkov-2","Czech Republic",49.622,"N",17.684,"E"
"17178","Slavkov-2","Czech Republic",49.573,"N",17.557,"E"
"17179","Týn-nad-Bečvou-1","Czech Republic",49.518,"N",17.657,"E"
"17180","Kamenka","Czech Republic",49.519,"N",17.659,"E"
"17181","Kamenka","Czech Republic",49.519,"N",17.659,"E"
"17182","Kamenka","Czech Republic",49.519,"N",17.659,"E"
"17183","Kamenka","Czech Republic",49.519,"N",17.659,"E"
"17184","Klokočůvek-1","Czech Republic",49.724,"N",17.705,"E"
"17185","Klokočůvek-2","Czech Republic",49.722,"N",17.72,"E"
"17186","Teplice-nad-Bečvou","Czech Republic",49.525,"N",17.749,"E"
"17187","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17188","Bruntál-1","Czech Republic",49.977,"N",17.414,"E"
"17189","Bruntál-1","Czech Republic",49.977,"N",17.414,"E"
"17190","Bruntál-2","Czech Republic",49.988,"N",17.438,"E"
"17191","Malá-Štáhle","Czech Republic",49.943,"N",17.34,"E"
"17192","Velká-Štáhle","Czech Republic",49.934,"N",17.346,"E"
"17193","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17194","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17195","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17196","Dolní-Moravice","Czech Republic",49.986,"N",17.317,"E"
"17197","Karlov-pod-Pradědem","Czech Republic",50.021,"N",17.285,"E"
"17198","Karlova-Studánka","Czech Republic",50.087,"N",17.296,"E"
"17199","Dlouhá-Stráň","Czech Republic",49.943,"N",17.511,"E"
"17200","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17201","Vajglov","Czech Republic",49.9,"N",17.341,"E"
"17202","Vajglov","Czech Republic",49.9,"N",17.341,"E"
"17203","Stránské","Czech Republic",49.903,"N",17.302,"E"
"17204","Vajglov","Czech Republic",49.9,"N",17.341,"E"
"17205","Vajglov","Czech Republic",49.9,"N",17.341,"E"
"17206","Vajglov","Czech Republic",49.9,"N",17.341,"E"
"17207","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17208","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17209","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17210","Vajglov","Czech Republic",49.9,"N",17.341,"E"
"17211","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17212","Valšov","Czech Republic",49.92,"N",17.418,"E"
"17213","Břidličná-2","Czech Republic",49.921,"N",17.396,"E"
"17214","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17215","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17216","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
"17217","Staré-Město-Nová-Véska","Czech Republic",50.02,"N",17.4,"E"
