INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
21513,Sphyrapicus255,Canada,49.82148,N,-114.42463,W
21514,Sphyrapicus256,Canada,51.89119,N,-115.03333,W
21515,Sphyrapicus257,Canada,53.40053,N,-117.86851,W
21516,Sphyrapicus258,Canada,51.83,N,-115.22,W
21517,Sphyrapicus259,Canada,51.80589,N,-115.20223,W
21518,Sphyrapicus260,Canada,51.87217,N,-115.13652,W
21179,Sphyrapicus001,Canada,52.21527,N,-122.40472,W
21180,Sphyrapicus002,Canada,52.15138,N,-122.60583,W
21181,Sphyrapicus003,Canada,52.14694,N,-122.54194,W
21182,Sphyrapicus003,Canada,52.14694,N,-122.54194,W
21183,Sphyrapicus004,Canada,52.13194,N,-122.57388,W
21184,Sphyrapicus004,Canada,52.13194,N,-122.57388,W
21185,Sphyrapicus005,Canada,52.27916,N,-121.93166,W
21186,Sphyrapicus005,Canada,52.27916,N,-121.93166,W
21187,Sphyrapicus006,Canada,52.42888,N,-122.1,W
21188,Sphyrapicus007,Canada,52.08138,N,-122.61027,W
21189,Sphyrapicus007,Canada,52.08138,N,-122.61027,W
21190,Sphyrapicus008,Canada,52.03611,N,-122.40972,W
21191,Sphyrapicus009,Canada,52.22305,N,-125.11222,W
21192,Sphyrapicus010,Canada,52.22055,N,-124.92416,W
21193,Sphyrapicus011,Canada,52.16083,N,-125.00777,W
21194,Sphyrapicus011,Canada,52.16083,N,-125.00777,W
21195,Sphyrapicus012,Canada,52.17527,N,-125.18388,W
21196,Sphyrapicus012,Canada,52.17527,N,-125.18388,W
21197,Sphyrapicus013,Canada,52.85805,N,-125.56166,W
21198,Sphyrapicus013,Canada,52.85805,N,-125.56166,W
21199,Sphyrapicus014,Canada,52.58972,N,-126.275,W
21200,Sphyrapicus015,Canada,52.41666,N,-126.13888,W
21201,Sphyrapicus016,Canada,52.59333,N,-126.00888,W
21202,Sphyrapicus017,Canada,52.5425,N,-126.15861,W
21203,Sphyrapicus018,Canada,52.62055,N,-125.98916,W
21204,Sphyrapicus019,Canada,52.5375,N,-126.08944,W
21205,Sphyrapicus020,Canada,52.53305,N,-126.53527,W
21206,Sphyrapicus021,Canada,52.45333,N,-126.88388,W
21207,Sphyrapicus022,Canada,52.49027,N,-126.90361,W
21208,Sphyrapicus023,Canada,52.535,N,-126.76361,W
21209,Sphyrapicus024,Canada,52.62166,N,-126.87527,W
21210,Sphyrapicus025,Canada,52.65,N,-126.63944,W
21211,Sphyrapicus026,Canada,52.48083,N,-126.92166,W
21212,Sphyrapicus026,Canada,52.48083,N,-126.92166,W
21213,Sphyrapicus027,Canada,52.46666,N,-126.86583,W
21214,Sphyrapicus028,Canada,52.53277,N,-126.46305,W
21215,Sphyrapicus028,Canada,52.53277,N,-126.46305,W
21216,Sphyrapicus029,Canada,52.60416,N,-126.72861,W
21217,Sphyrapicus029,Canada,52.60416,N,-126.72861,W
21218,Sphyrapicus030,Canada,51.91722,N,-124.71055,W
21219,Sphyrapicus031,Canada,51.86583,N,-121.4275,W
21220,Sphyrapicus032,Canada,51.73611,N,-121.11444,W
21221,Sphyrapicus033,Canada,51.61694,N,-120.43638,W
21222,Sphyrapicus034,Canada,51.69361,N,-120.41111,W
21223,Sphyrapicus035,Canada,50.51027,N,-117.43194,W
21225,Sphyrapicus037,Canada,50.60361,N,-117.39166,W
21226,Sphyrapicus037,Canada,50.60361,N,-117.39166,W
21227,Sphyrapicus038,Canada,50.34972,N,-116.99777,W
21229,Sphyrapicus039,Canada,50.27527,N,-117.10861,W
21230,Sphyrapicus040,Canada,49.56444,N,-117.34361,W
21231,Sphyrapicus041,Canada,49.25944,N,-117.42138,W
21232,Sphyrapicus042,Canada,49.31583,N,-117.49472,W
21233,Sphyrapicus043,Canada,49.24777,N,-117.40083,W
21234,Sphyrapicus044,Canada,49.64666,N,-117.55583,W
21235,Sphyrapicus044,Canada,49.64666,N,-117.55583,W
21236,Sphyrapicus045,Canada,50.63638,N,-119.455,W
21237,Sphyrapicus045,Canada,50.63638,N,-119.455,W
21238,Sphyrapicus046,Canada,52.04638,N,-123.53916,W
21239,Sphyrapicus046,Canada,52.04638,N,-123.53916,W
21240,Sphyrapicus047,Canada,52.29416,N,-124.30916,W
21241,Sphyrapicus048,Canada,52.5875,N,-125.47666,W
21242,Sphyrapicus049,Canada,52.76611,N,-125.62527,W
21243,Sphyrapicus049,Canada,52.76611,N,-125.62527,W
21244,Sphyrapicus050,Canada,52.865,N,-125.56,W
21245,Sphyrapicus051,Canada,52.78527,N,-125.7175,W
21247,Sphyrapicus052,Canada,52.67,N,-125.65111,W
21249,Sphyrapicus053,Canada,52.82361,N,-125.58416,W
21250,Sphyrapicus054,Canada,52.87666,N,-125.46722,W
21251,Sphyrapicus055,Canada,52.74361,N,-125.55166,W
21252,Sphyrapicus056,Canada,52.73416,N,-125.57805,W
21253,Sphyrapicus057,Canada,52.75777,N,-125.38666,W
21254,Sphyrapicus058,Canada,52.8,N,-125.43444,W
21255,Sphyrapicus059,Canada,52.70388,N,-125.56833,W
21256,Sphyrapicus060,Canada,52.66916,N,-125.47583,W
21257,Sphyrapicus061,Canada,52.50055,N,-125.32083,W
21258,Sphyrapicus062,Canada,52.63166,N,-125.36,W
21259,Sphyrapicus063,Canada,52.55833,N,-125.44111,W
21260,Sphyrapicus064,Canada,52.70666,N,-125.62388,W
21262,Sphyrapicus066,Canada,52.69972,N,-125.55,W
21263,Sphyrapicus067,Canada,52.56166,N,-125.42388,W
21264,Sphyrapicus067,Canada,52.56166,N,-125.42388,W
21265,Sphyrapicus068,Canada,52.65944,N,-125.37444,W
21266,Sphyrapicus069,Canada,52.52694,N,-125.33388,W
21267,Sphyrapicus069,Canada,52.52694,N,-125.33388,W
21268,Sphyrapicus070,Canada,52.56166,N,-125.25555,W
21269,Sphyrapicus070,Canada,52.56166,N,-125.25555,W
21270,Sphyrapicus071,Canada,52.52361,N,-125.30444,W
21271,Sphyrapicus072,Canada,52.45888,N,-125.30666,W
21272,Sphyrapicus073,Canada,55.39111,N,-123.17861,W
21273,Sphyrapicus073,Canada,55.39111,N,-123.17861,W
21279,Sphyrapicus078,Canada,55.90388,N,-121.64805,W
21280,Sphyrapicus079,Canada,55.7225,N,-121.56333,W
21281,Sphyrapicus080,Canada,55.69694,N,-121.73,W
21283,Sphyrapicus082,Canada,55.86861,N,-122.28722,W
21284,Sphyrapicus083,Canada,55.72166,N,-122.42638,W
21285,Sphyrapicus084,Canada,55.65083,N,-122.37583,W
21290,Sphyrapicus089,Canada,55.76638,N,-122.3325,W
21297,Sphyrapicus095,Canada,55.58888,N,-123.12,W
21298,Sphyrapicus096,Canada,55.43888,N,-123.22333,W
21299,Sphyrapicus097,Canada,55.62138,N,-123.20833,W
21300,Sphyrapicus097,Canada,55.62138,N,-123.20833,W
21301,Sphyrapicus097,Canada,55.62138,N,-123.20833,W
21302,Sphyrapicus098,Canada,55.19583,N,-123.37083,W
21303,Sphyrapicus098,Canada,55.19583,N,-123.37083,W
21304,Sphyrapicus099,Canada,55.1225,N,-123.27222,W
21306,Sphyrapicus101,Canada,55.64416,N,-123.38083,W
21307,Sphyrapicus102,Canada,55.46111,N,-123.36,W
21308,Sphyrapicus102,Canada,55.46111,N,-123.36,W
21309,Sphyrapicus103,Canada,54.84944,N,-124.55333,W
21310,Sphyrapicus103,Canada,54.84944,N,-124.55333,W
21311,Sphyrapicus104,Canada,54.88055,N,-124.60444,W
21312,Sphyrapicus105,Canada,54.71166,N,-124.46138,W
21314,Sphyrapicus107,Canada,54.83333,N,-124.61638,W
21315,Sphyrapicus108,Canada,54.75138,N,-124.475,W
21316,Sphyrapicus109,Canada,54.82972,N,-124.31027,W
21317,Sphyrapicus110,Canada,54.59833,N,-124.15416,W
21318,Sphyrapicus111,Canada,54.67305,N,-124.18916,W
21319,Sphyrapicus111,Canada,54.67305,N,-124.18916,W
21320,Sphyrapicus112,Canada,54.38638,N,-124.495,W
21321,Sphyrapicus113,Canada,54.35277,N,-124.30944,W
21323,Sphyrapicus115,Canada,54.90305,N,-124.33083,W
21324,Sphyrapicus115,Canada,54.90305,N,-124.33083,W
21325,Sphyrapicus116,Canada,55.01805,N,-124.16277,W
21326,Sphyrapicus116,Canada,55.01805,N,-124.16277,W
21327,Sphyrapicus117,Canada,55.00611,N,-124.18916,W
21328,Sphyrapicus117,Canada,55.00611,N,-124.18916,W
21329,Sphyrapicus118,Canada,54.15027,N,-126.61555,W
21330,Sphyrapicus119,Canada,54.1275,N,-126.71972,W
21331,Sphyrapicus120,Canada,54.04805,N,-126.65027,W
21332,Sphyrapicus120,Canada,54.04805,N,-126.65027,W
21333,Sphyrapicus121,Canada,54.05638,N,-126.65944,W
21334,Sphyrapicus122,Canada,53.55,N,-113.06666,W
21360,Sphyrapicus144,Canada,49.2236,N,-123.108,W
21361,Sphyrapicus145,Canada,49.29303,N,-123.14032,W
21362,Sphyrapicus146,Canada,50.30677,N,-122.78214,W
21363,Sphyrapicus147,Canada,49.95721,N,-123.12024,W
21364,Sphyrapicus148,Canada,38.08071,N,-122.19106,W
21365,Sphyrapicus149,Canada,40.41258,N,-121.53084,W
21366,Sphyrapicus149,Canada,40.41258,N,-121.53084,W
21367,Sphyrapicus149,Canada,40.41258,N,-121.53084,W
21368,Sphyrapicus150,Canada,40.37882,N,-121.56598,W
21370,Sphyrapicus152,Canada,49.06375,N,-120.79841,W
21375,Sphyrapicus155,Canada,49.35745,N,-121.60494,W
21377,Sphyrapicus157,Canada,49.26753,N,-121.21826,W
21379,Sphyrapicus159,Canada,49.4204,N,-121.41863,W
21380,Sphyrapicus159,Canada,49.4204,N,-121.41863,W
21381,Sphyrapicus160,Canada,49.00205,N,-121.06326,W
21382,Sphyrapicus161,Canada,49.35838,N,-121.61468,W
21383,Sphyrapicus162,Canada,49.09002,N,-121.78397,W
21384,Sphyrapicus163,Canada,49.35528,N,-121.74785,W
21385,Sphyrapicus164,Canada,49.23745,N,-121.89356,W
21386,Sphyrapicus165,Canada,49.41478,N,-121.41698,W
21390,Sphyrapicus169,Canada,49.06363,N,-120.86884,W
21392,Sphyrapicus171,Canada,49.05664,N,-120.73611,W
21395,Sphyrapicus173,Canada,49.47911,N,-120.5639,W
21396,Sphyrapicus174,Canada,49.39611,N,-120.13,W
21398,Sphyrapicus175,Canada,49.47908,N,-121.44208,W
21401,Sphyrapicus176,Canada,49.05952,N,-120.83675,W
