SP1,SP2,DISTANCE
anatolicus,rutilus,692.2995
anatolicus,bocagei,692.2996
anatolicus,guadarramae,692.2996
anatolicus,virescens,692.2996
anatolicus,hispanicus,692.2996
anatolicus,vaucheri,692.2996
anatolicus,carbonelli,692.2996
anatolicus,liolepis,692.2996
anatolicus,astreptophora,692.2992
anatolicus,helvetica,692.2992
anatolicus,natrix,692.2992
anatolicus,colchica,692.2993
anatolicus,fragilis,692.2993
anatolicus,orbicularis,692.2993
anatolicus,trinacris,692.2993
anatolicus,varius,692.2996
anatolicus,ruber,692.2996
anatolicus,nuchalis,692.2996
anatolicus,salar,898.1454
anatolicus,trutta,898.1454
anatolicus,senegalensis,898.1454
anatolicus,aegyptiaca,898.1454
macedonicus,bombina,629.707
macedonicus,variegata,629.707
macedonicus,marmoratus,36.4
macedonicus,pygmaeus,36.4
macedonicus,ivanbureschi,14.56
macedonicus,anatolicus,14.56
macedonicus,macedonicus,0
macedonicus,cristatus,10.8
macedonicus,montandoni,85.590887
macedonicus,vulgaris,85.590887
macedonicus,glareolus,692.2995
macedonicus,rutilus,692.2995
macedonicus,bocagei,692.2996
macedonicus,guadarramae,692.2996
macedonicus,virescens,692.2996
macedonicus,hispanicus,692.2996
macedonicus,vaucheri,692.2996
macedonicus,carbonelli,692.2996
macedonicus,liolepis,692.2996
macedonicus,astreptophora,692.2992
macedonicus,helvetica,692.2992
macedonicus,natrix,692.2992
macedonicus,colchica,692.2993
macedonicus,fragilis,692.2993
macedonicus,orbicularis,692.2993
macedonicus,trinacris,692.2993
macedonicus,varius,692.2996
macedonicus,ruber,692.2996
macedonicus,nuchalis,692.2996
macedonicus,salar,898.1454
macedonicus,trutta,898.1454
macedonicus,senegalensis,898.1454
macedonicus,aegyptiaca,898.1454
cristatus,bombina,629.707
cristatus,variegata,629.707
cristatus,marmoratus,36.4
cristatus,pygmaeus,36.4
cristatus,ivanbureschi,14.56
cristatus,anatolicus,14.56
cristatus,macedonicus,10.8
cristatus,cristatus,0
cristatus,montandoni,85.590887
cristatus,vulgaris,85.590887
cristatus,glareolus,692.2995
cristatus,rutilus,692.2995
cristatus,bocagei,692.2996
cristatus,guadarramae,692.2996
cristatus,virescens,692.2996
cristatus,hispanicus,692.2996
cristatus,vaucheri,692.2996
cristatus,carbonelli,692.2996
cristatus,liolepis,692.2996
cristatus,astreptophora,692.2992
cristatus,helvetica,692.2992
cristatus,natrix,692.2992
cristatus,colchica,692.2993
cristatus,fragilis,692.2993
cristatus,orbicularis,692.2993
cristatus,trinacris,692.2993
cristatus,varius,692.2996
cristatus,ruber,692.2996
cristatus,nuchalis,692.2996
cristatus,salar,898.1454
cristatus,trutta,898.1454
cristatus,senegalensis,898.1454
cristatus,aegyptiaca,898.1454
montandoni,bombina,629.707001
montandoni,variegata,629.707001
montandoni,marmoratus,85.590887
montandoni,pygmaeus,85.590887
montandoni,ivanbureschi,85.590887
montandoni,anatolicus,85.590887
montandoni,macedonicus,85.590887
montandoni,cristatus,85.590887
montandoni,montandoni,0
montandoni,vulgaris,7.94
montandoni,glareolus,692.299501
montandoni,rutilus,692.299501
montandoni,bocagei,692.299601
montandoni,guadarramae,692.299601
montandoni,virescens,692.299601
montandoni,hispanicus,692.299601
montandoni,vaucheri,692.299601
montandoni,carbonelli,692.299601
montandoni,liolepis,692.299601
montandoni,astreptophora,692.299201
montandoni,helvetica,692.299201
montandoni,natrix,692.299201
montandoni,colchica,692.299301
montandoni,fragilis,692.299301
montandoni,orbicularis,692.299301
montandoni,trinacris,692.299301
montandoni,varius,692.299601
montandoni,ruber,692.299601
montandoni,nuchalis,692.299601
montandoni,salar,898.145401
montandoni,trutta,898.145401
montandoni,senegalensis,898.145401
montandoni,aegyptiaca,898.145401
vulgaris,bombina,629.707001
vulgaris,variegata,629.707001
vulgaris,marmoratus,85.590887
vulgaris,pygmaeus,85.590887
vulgaris,ivanbureschi,85.590887
vulgaris,anatolicus,85.590887
vulgaris,macedonicus,85.590887
vulgaris,cristatus,85.590887
vulgaris,montandoni,7.94
vulgaris,vulgaris,0
vulgaris,glareolus,692.299501
vulgaris,rutilus,692.299501
vulgaris,bocagei,692.299601
vulgaris,guadarramae,692.299601
vulgaris,virescens,692.299601
vulgaris,hispanicus,692.299601
vulgaris,vaucheri,692.299601
vulgaris,carbonelli,692.299601
vulgaris,liolepis,692.299601
vulgaris,astreptophora,692.299201
vulgaris,helvetica,692.299201
vulgaris,natrix,692.299201
vulgaris,colchica,692.299301
vulgaris,fragilis,692.299301
vulgaris,orbicularis,692.299301
vulgaris,trinacris,692.299301
vulgaris,varius,692.299601
vulgaris,ruber,692.299601
vulgaris,nuchalis,692.299601
vulgaris,salar,898.145401
vulgaris,trutta,898.145401
vulgaris,senegalensis,898.145401
vulgaris,aegyptiaca,898.145401
glareolus,bombina,692.2997
glareolus,variegata,692.2997
glareolus,marmoratus,692.2995
glareolus,pygmaeus,692.2995
glareolus,ivanbureschi,692.2995
glareolus,anatolicus,692.2995
glareolus,macedonicus,692.2995
glareolus,cristatus,692.2995
glareolus,montandoni,692.299501
glareolus,vulgaris,692.299501
glareolus,glareolus,0
glareolus,rutilus,7.2
glareolus,bocagei,633.2801
glareolus,guadarramae,633.2801
glareolus,virescens,633.2801
glareolus,hispanicus,633.2801
