DESCRIPTION,22177,22178,22180,22181,22182,22183,22189,22190,22192,22193,22195,22196,22197,22198,22199,22203,22206,22209,22210,22211,22214,22218,22223,22225,22226,22227,22228,22231,22233,22234,22235,22236,22238,22241,22243,22246,22248,22249,22254,22255,22256,22258,22259,22260,22261,22262,22264,22265,22266,22267,22268,22269,22270,22271,22272,22276,22279,22282,22284,22286,22287,22288,22289,22291,22292,22293,22296,22298,22300,22301,22302,22303,22304,22306,22307,22309,22310,22313,22314,22317,22319,22322,22324,22326,22328,22330,22331,22332,22333,22195d,22269d,22325,22322d,22335,22336,22337,22345,22363,22367,22369,22370,22371,22372,22374,22379,22380,22382,22387,22390,22391,22392,22400,22401,22402,22404,22406,22407,22410,22411,22414,22415,22419,22422,22423,22424,22427,22428,22429,22431,22434,22435,22437,22438,22439,22442,22443,22446,22450,22451,22452,22453,22457,22458,22463,22470,22471,22472,22473,22475,22476,22477,22478,22479,22480,22481,22482,22483,22484,22485,22486,22489,22490,22491,22492,22493,22494,22495,22496,22497,22498,22500,22502,22503,22505,22506,22507,22508,22509,22512,22516,22518,22523,22345d,22423d,22470d,22485d,22526,22527,22528,22529,22530,22531,22533,22534,22535,22536,22558,22568,22570,22581,22589,22592,22603,22623,22634,22639,22648,22650,22654,22673,22674,22675,22676,22677,22678,22679,22680,22681,22682,22683,22684,22685,22686,22691,22693,22695,22696,22697,22698,22699,22701,22702,22703,22704,22706,22707,22709,22710,22711,22712,22727,22728,22729,22730,22731,22732,22733,22734,22735,22736,22737,22738,22739,22740,22741,22742,22743,22744,22745,22746,22747,22748,22749,22750,22741d,22740d,22753,22754,22755,22756,22757,22758,22748d,22760,22761,22762,22763,22764,22530d,22673d
DEPTH_AMPLICON,369,391,208,1560,534,1545,1604,785,362,856,484,1269,653,818,877,1033,578,1249,569,492,649,950,1696,711,277,886,417,872,513,820,744,1631,509,1556,905,1382,1106,1772,622,595,170,315,828,469,721,603,1007,120,880,1116,1706,1412,1081,1016,1372,754,1720,1484,1752,1124,1003,1027,1317,991,916,1138,803,1346,164,713,1213,655,891,939,1248,949,903,1376,1433,1046,1178,1779,1484,1150,1141,1918,1552,1079,657,1371,1650,895,1461,1188,2481,1327,1661,3188,2605,2017,2230,2566,1655,3216,2321,3359,2103,1634,1420,2504,3297,3596,3871,4312,4843,3711,251,133,137,238,3088,2557,2337,2679,3285,3580,4382,3172,5427,2290,2695,4120,3695,4439,4172,4617,5749,3947,2314,2099,2711,3097,3258,4492,2948,2989,2581,2192,1586,2322,2381,3692,2535,2095,1519,1490,1543,1481,110,1494,1372,1670,1721,1543,740,1518,1113,1614,1843,795,1701,1207,2223,1366,1074,2588,2829,3352,1067,2307,1590,1452,1287,1797,1919,147,871,1536,1976,1506,1583,1421,1803,690,2173,2181,1907,2282,2708,2526,1037,1634,2057,1212,2840,2121,2494,1522,1234,1217,1394,489,1865,2588,2637,1708,1340,2507,2052,2068,2475,2716,2719,2334,1203,2129,1261,1908,2889,3031,2674,1965,2092,1275,631,1529,1235,2995,955,858,1013,1396,790,1158,1390,1722,1084,1223,717,1312,1745,763,728,1623,691,498,782,206,787,754,1056,725,490,497,518,1338,1401,1301,1135,1295,860,185,937,884,128,393,767,1100,719,439
DEPTH_ALLELES,290,311,146,1320,433,1279,1372,602,283,698,357,1074,516,677,685,948,480,1060,445,391,513,781,1421,587,243,730,320,737,435,686,623,1359,428,1284,723,1133,907,1448,515,521,148,266,733,366,564,508,878,94,791,974,1492,1233,935,905,1181,622,1537,1261,1493,1013,896,909,1150,813,798,971,728,1206,130,684,1042,578,830,831,1130,829,820,1204,1286,961,1036,1542,1355,1031,989,1734,1388,956,586,1119,1426,757,1248,1028,2078,1086,1406,2632,2090,1656,1578,2201,1396,2701,1798,2854,1722,1362,1191,1996,2853,2649,3203,3361,3728,2661,156,97,101,188,2668,2086,1892,2272,2713,3053,3847,2794,4747,2079,2290,3396,3283,3633,3552,4094,5170,3368,1927,1783,2492,2610,2833,3798,2503,2477,2271,1771,1279,1936,1974,2874,2076,1848,1336,1389,1376,1357,68,1292,1246,1454,1565,1373,673,1428,1028,1481,1698,712,1465,1074,1841,1238,956,2392,2583,2837,828,1858,1247,1235,1098,1550,1445,100,720,1319,1696,1272,1306,1051,1479,594,1883,1631,1669,2063,2180,2099,935,1553,1778,1146,2487,2004,1985,1266,1133,1095,1208,422,1695,2284,2217,1474,1201,2188,1867,1880,2275,2427,2326,2029,1082,1899,1139,1680,2648,2650,2383,1729,1918,1125,549,1371,1063,2592,813,704,908,1230,690,1007,1245,1547,979,1058,621,1159,1560,706,648,1440,619,438,714,123,717,705,981,677,450,456,465,1185,1176,1195,1042,1182,796,154,853,819,111,361,713,960,633,372
COUNT_ALLELES,4,10,6,3,3,3,6,6,7,7,7,4,6,5,6,5,4,6,5,5,8,7,4,6,8,7,7,7,5,5,5,5,7,4,5,4,4,5,10,6,8,4,3,4,7,8,8,11,5,7,6,5,6,4,5,4,4,7,4,7,5,5,5,8,3,3,5,3,11,4,6,6,7,5,10,7,6,5,5,5,6,5,6,7,8,4,5,4,8,6,5,6,4,4,3,3,3,4,3,4,4,3,3,4,3,5,4,7,6,3,3,5,3,4,5,6,9,7,10,9,4,3,4,5,3,4,5,7,5,2,3,4,2,5,5,5,3,4,3,4,3,3,4,4,4,4,5,5,5,4,5,4,5,5,6,6,4,4,10,3,5,4,4,4,5,4,5,4,3,5,3,8,4,5,3,3,5,4,3,5,5,4,4,6,4,14,2,2,3,4,2,4,4,5,5,4,4,3,4,4,2,2,4,2,2,2,3,4,4,2,3,2,4,3,5,3,2,2,2,2,4,2,3,2,4,2,2,4,4,4,4,2,2,2,5,2,3,6,3,4,2,5,5,3,4,2,4,4,3,3,4,1,6,5,3,5,4,6,2,5,2,4,1,4,4,5,5,5,4,4,5,7,4,4,7,1,5,6,2,2
