"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"16671","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Bahiret-el-Bibane"
"16672","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16673","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16674","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Bahiret-el-Bibane"
"16675","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16676","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.7e-05,"Bahiret-el-Bibane"
"16677","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.002,"SENEGALENSIS",3.6e-05,"Chergui"
"16678","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16679","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16680","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16681","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16682","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16683","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16684","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16685","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16686","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.206,"SENEGALENSIS",3.4e-05,"Chergui"
"16687","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16688","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16689","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16690","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.41,"SENEGALENSIS",3.48461538461538e-05,"Chergui"
"16709","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.005,"SENEGALENSIS",3.6e-05,"Bahiret-el-Bibane"
"16710","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.8e-05,"Bahiret-el-Bibane"
"16712","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.57142857142857e-05,"Bahiret-el-Bibane"
"16713","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16714","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.7e-05,"Bahiret-el-Bibane"
"16715","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Bahiret-el-Bibane"
"16716","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16717","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.8e-05,"Bahiret-el-Bibane"
"16718","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16659","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.012002,"Bizerte"
"16660","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.289,"SENEGALENSIS",0.002971,"Bizerte"
"16691","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",3.9e-05,"Bizerte"
"16703","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.4e-05,"Bizerte"
"16649","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",1,"Rabat"
"16573","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.999966,"Lake-Mellach"
"16574","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.999965,"Lake-Mellach"
"16575","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.999961,"Lake-Mellach"
"16576","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",0.9990725,"Lake-Mellach"
"16577","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.995616,"Lake-Mellach"
"16578","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.682,"SENEGALENSIS",0.997193,"Lake-Mellach"
"16579","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.999965,"Lake-Mellach"
"16580","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.999965,"Lake-Mellach"
"16581","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16583","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16584","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999917,"Dakar"
"16585","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16586","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16587","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.999965,"Tabarka"
"16588","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.999966,"Tabarka"
"16589","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.744,"SENEGALENSIS",0.999944,"Tabarka"
"16590","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.999966,"Tabarka"
"16611","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",0.999949,"Lake-Mellach"
"16612","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16613","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16614","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16617","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.451,"SENEGALENSIS",0.995107,"Tabarka"
"16622","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.703,"SENEGALENSIS",0.99995,"Tabarka"
"16626","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.417,"SENEGALENSIS",0.915618,"Tabarka"
"16652","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.975743,"Tabarka"
"16653","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.194,"SENEGALENSIS",0.974223,"Tabarka"
"16657","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.682,"SENEGALENSIS",0.999943,"Tabarka"
"16721","senegalensis","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",0.999967,"Dakar"
"16724","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.277,"SENEGALENSIS",0.999957,"Annaba"
"16725","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.076,"SENEGALENSIS",0.999954,"Annaba"
"16726","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.999955,"Annaba"
"16727","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.978527,"Annaba"
"16728","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.999948,"Annaba"
"16729","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.384,"SENEGALENSIS",0.999957,"Annaba"
"16730","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",0.999963,"Annaba"
"16731","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.682,"SENEGALENSIS",0.999954,"Annaba"
"16732","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.235,"SENEGALENSIS",0.999963,"Annaba"
"16733","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0.417,"SENEGALENSIS",0.999957,"Annaba"
"16734","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.949653,"Annaba"
"16735","senegalensis","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.994321,"Annaba"
