"INDIVIDUAL_ID","Q","CLASS","HYBRID_ZONE"
"16661","0","I","aegyptiaca_senegalensis"
"16662","0","I","aegyptiaca_senegalensis"
"16663","0","I","aegyptiaca_senegalensis"
"16664","0","I","aegyptiaca_senegalensis"
"16665","0","I","aegyptiaca_senegalensis"
"16666","0","I","aegyptiaca_senegalensis"
"16667","0","I","aegyptiaca_senegalensis"
"16669","0","I","aegyptiaca_senegalensis"
"16670","0","I","aegyptiaca_senegalensis"
"16691","0","I","aegyptiaca_senegalensis"
"16692","0","I","aegyptiaca_senegalensis"
"16693","0","I","aegyptiaca_senegalensis"
"16694","0","I","aegyptiaca_senegalensis"
"16695","0","I","aegyptiaca_senegalensis"
"16696","0","I","aegyptiaca_senegalensis"
"16697","0.001","I","aegyptiaca_senegalensis"
"16698","0","I","aegyptiaca_senegalensis"
"16699","0.032","I","aegyptiaca_senegalensis"
"16700","0","I","aegyptiaca_senegalensis"
"16701","0","I","aegyptiaca_senegalensis"
"16702","0","I","aegyptiaca_senegalensis"
"16703","0","I","aegyptiaca_senegalensis"
"16704","0","I","aegyptiaca_senegalensis"
"16705","0","I","aegyptiaca_senegalensis"
"16706","0","I","aegyptiaca_senegalensis"
"16707","0","I","aegyptiaca_senegalensis"
"16708","0","I","aegyptiaca_senegalensis"
"16563","0.029","II","aegyptiaca_senegalensis"
"16564","0.158","II","aegyptiaca_senegalensis"
"16565","0.307","II","aegyptiaca_senegalensis"
"16566","0.020","II","aegyptiaca_senegalensis"
"16567","0.122","II","aegyptiaca_senegalensis"
"16568","0.021","II","aegyptiaca_senegalensis"
"16569","0.062","II","aegyptiaca_senegalensis"
"16570","0.371","II","aegyptiaca_senegalensis"
"16571","0.024","II","aegyptiaca_senegalensis"
"16572","0.034","II","aegyptiaca_senegalensis"
"16595","0.065","II","aegyptiaca_senegalensis"
"16596","0.350","II","aegyptiaca_senegalensis"
"16597","0.343","II","aegyptiaca_senegalensis"
"16598","0.354","II","aegyptiaca_senegalensis"
"16599","0.145","II","aegyptiaca_senegalensis"
"16600","0.348","II","aegyptiaca_senegalensis"
"16601","0.871","II","aegyptiaca_senegalensis"
"16602","0.024","II","aegyptiaca_senegalensis"
"16603","0.026","II","aegyptiaca_senegalensis"
"16604","0.038","II","aegyptiaca_senegalensis"
"16605","0.163","II","aegyptiaca_senegalensis"
"16606","0.023","II","aegyptiaca_senegalensis"
"16607","0.027","II","aegyptiaca_senegalensis"
"16608","0.020","II","aegyptiaca_senegalensis"
"16609","0.029","II","aegyptiaca_senegalensis"
"16627","0.940","II","aegyptiaca_senegalensis"
"16628","0.141","II","aegyptiaca_senegalensis"
"16629","0.227","II","aegyptiaca_senegalensis"
"16630","0.066","II","aegyptiaca_senegalensis"
"16631","0.031","II","aegyptiaca_senegalensis"
"16632","0.019","II","aegyptiaca_senegalensis"
"16636","0.019","II","aegyptiaca_senegalensis"
"16637","0.911","II","aegyptiaca_senegalensis"
"16638","0.042","II","aegyptiaca_senegalensis"
"16639","0.676","II","aegyptiaca_senegalensis"
"16640","0.068","II","aegyptiaca_senegalensis"
"16641","0.068","II","aegyptiaca_senegalensis"
"16642","0.019","II","aegyptiaca_senegalensis"
"16643","0.060","II","aegyptiaca_senegalensis"
"16644","0.091","II","aegyptiaca_senegalensis"
"16645","0.040","II","aegyptiaca_senegalensis"
"16646","0.056","II","aegyptiaca_senegalensis"
"16647","0.168","II","aegyptiaca_senegalensis"
"16648","0.460","II","aegyptiaca_senegalensis"
"16649","0.322","II","aegyptiaca_senegalensis"
"16671","0.048","II","aegyptiaca_senegalensis"
"16672","0.020","II","aegyptiaca_senegalensis"
"16673","0.092","II","aegyptiaca_senegalensis"
"16674","0.635","II","aegyptiaca_senegalensis"
"16675","0.084","II","aegyptiaca_senegalensis"
"16676","0.359","II","aegyptiaca_senegalensis"
"16677","0.034","II","aegyptiaca_senegalensis"
"16678","0.896","II","aegyptiaca_senegalensis"
"16679","0.566","II","aegyptiaca_senegalensis"
"16680","0.136","II","aegyptiaca_senegalensis"
"16681","0.064","II","aegyptiaca_senegalensis"
"16682","0.446","II","aegyptiaca_senegalensis"
"16683","0.028","II","aegyptiaca_senegalensis"
"16684","0.038","II","aegyptiaca_senegalensis"
"16685","0.124","II","aegyptiaca_senegalensis"
"16686","0.249","II","aegyptiaca_senegalensis"
"16687","0.040","II","aegyptiaca_senegalensis"
"16688","0.076","II","aegyptiaca_senegalensis"
"16689","0.046","II","aegyptiaca_senegalensis"
"16690","0.103","II","aegyptiaca_senegalensis"
"16709","0.028","II","aegyptiaca_senegalensis"
"16710","0.726","II","aegyptiaca_senegalensis"
"16712","0.093","II","aegyptiaca_senegalensis"
"16713","0.947","II","aegyptiaca_senegalensis"
"16714","0.509","II","aegyptiaca_senegalensis"
"16715","0.025","II","aegyptiaca_senegalensis"
"16716","0.088","II","aegyptiaca_senegalensis"
"16717","0.916","II","aegyptiaca_senegalensis"
"16718","0.982","II","aegyptiaca_senegalensis"
"16573","0.973","II","aegyptiaca_senegalensis"
"16574","0.870","II","aegyptiaca_senegalensis"
"16575","0.912","II","aegyptiaca_senegalensis"
"16576","0.389","II","aegyptiaca_senegalensis"
"16577","0.848","II","aegyptiaca_senegalensis"
"16578","0.982","II","aegyptiaca_senegalensis"
"16579","0.972","II","aegyptiaca_senegalensis"
"16580","0.990","II","aegyptiaca_senegalensis"
