"HYBRID_ZONE","CLASS","VALUE","UPPER_95","LOWER_95","PARAMETERS","SE","N","LL","UPPER_2LL","LOWER_2LL"
"bombina_variegata","I",0.0750909670221413,0.0952414883050009,0.0549404457392816,"SD",0.0102808782055406,149,-18.5284189271516,0.095,0.061
"bombina_variegata","I",0.0902849811685199,0.543350682784197,-0.362780720447157,"ALPHA",0.23115597021208,149,-18.5284189271516,0.51605748,-0.32294252
"bombina_variegata","I",-1,0.00125546182871816,-2.00125546182872,"BETA",0.510844623381999,149,-18.5284189271516,-0.819,-1
"bombina_variegata","II",0.0804888865373185,0.100762594314914,0.0602151787597232,"SD",0.0103437284579568,143,-22.7532848629824,0.102,0.065
"bombina_variegata","II",-0.806738029022071,-0.342040252924399,-1.27143580511974,"ALPHA",0.237090702090649,143,-22.7532848629824,-0.359,-1
"bombina_variegata","II",-1,-0.0246571322388334,-1.97534286776117,"BETA",0.497623912123044,143,-22.7532848629824,-0.743,-1
