LOCALITY,TargetID,DISTANCE
Rabat,"51883",71189.5212362729
Rabat,"51884",71190.0333501823
Rabat,"51885",71190.6412228019
Rabat,"51886",71191.3448536203
Rabat,"51887",71192.1442417452
Rabat,"51888",71193.039385894
Rabat,"51889",71194.0302843982
Rabat,"51890",71195.1169352051
Rabat,"51891",71196.2993358764
Rabat,"51892",71197.5774835829
Rabat,"51893",71198.9513751133
Rabat,"51894",71200.4210068705
Tabarka,"33261",13309.4874785029
Tabarka,"33262",13305.2741630541
Tabarka,"33263",13301.5396372103
Tabarka,"33264",13298.2843066958
Tabarka,"33265",13295.5085258498
Tabarka,"33266",13293.2125974322
Tabarka,"33267",13291.3967724661
Tabarka,"33268",13290.0612500983
Tabarka,"33269",13289.2061774864
Tabarka,"33270",13288.8316497319
Tabarka,"33271",13288.937709819
Tabarka,"33272",13289.5243486002
Tabarka,"33273",13290.5915047858
Tabarka,"33274",13292.1390650025
Tabarka,"33275",13294.1668638304
Tabarka,"33276",13296.6746839081
Tabarka,"33277",13299.6622560496
Tabarka,"33278",13303.1292593814
Tabarka,"33279",13307.0753215215
Tabarka,"33280",13311.5000187893
Tunis,"29998",54272.3234721636
Tunis,"29999",54270.9797161154
Tunis,"30000",54269.7532617418
Tunis,"30001",54268.6441137361
Tunis,"30002",54267.6522760312
Tunis,"30003",54266.7777518009
Tunis,"30004",54266.0205434561
Tunis,"30005",54265.3806526493
Tunis,"30006",54264.8580802702
Tunis,"30007",54264.4528264489
Tunis,"30008",54264.1648905547
Tunis,"30009",54263.9942711945
Tunis,"30010",54263.9409662159
Tunis,"30011",54264.0049727045
Tunis,"30012",54264.1862869853
Tunis,"30013",54264.4849046233
Tunis,"30014",54264.9008204229
Tunis,"30015",54265.4340284258
Tunis,"30016",54266.0845219157
Tunis,"30017",54266.852293416
Tunis2,"31647",23178.9211290804
Tunis2,"31648",23176.6396394753
Tunis2,"31649",23174.6323642018
Tunis2,"31650",23172.8993758735
Tunis2,"31651",23171.4407373748
Tunis2,"31652",23170.2565018771
Tunis2,"31653",23169.3467128049
Tunis2,"31654",23168.7114038347
Tunis2,"31655",23168.3505989022
Tunis2,"31656",23168.2643121805
Tunis2,"31657",23168.4525480839
Tunis2,"31658",23168.9153012759
Tunis2,"31659",23169.6525566557
Tunis2,"31660",23170.6642893709
Tunis2,"31661",23171.9504648178
Tunis2,"31662",23173.5110386512
Tunis2,"31663",23175.3459567888
Tunis2,"31664",23177.4551554211
Tunis2,"31665",23179.8385610256
Tunis2,"31666",23182.4960903761
