FID,ID,TRANSECT,DISTANCE
"320","1",A,31900
"321","1",A,32000
"322","1",A,32100
"323","1",A,32200
"324","1",A,32300
"325","1",A,32400
"326","1",A,32500
"327","1",A,32600
"328","1",A,32700
"329","1",A,32800
"330","1",A,32900
"331","1",A,33000
"332","1",A,33100
"333","1",A,33200
"334","1",A,33300
"335","1",A,33400
"336","1",A,33500
"337","1",A,33600
"338","1",A,33700
"339","1",A,33800
"340","1",A,33900
"341","1",A,34000
"342","1",A,34100
"343","1",A,34200
"344","1",A,34300
"345","1",A,34400
"346","1",A,34500
"347","1",A,34600
"348","1",A,34700
"349","1",A,34800
"350","1",A,34900
"351","1",A,35000
"352","1",A,35100
"353","1",A,35200
"354","1",A,35300
"355","1",A,35400
"356","1",A,35500
"357","1",A,35600
"358","1",A,35700
"359","1",A,35800
"360","1",A,35900
"361","1",A,36000
"362","1",A,36100
"363","1",A,36200
"364","1",A,36300
"365","1",A,36400
"366","1",A,36500
"367","1",A,36600
"368","1",A,36700
"369","1",A,36800
"370","1",A,36900
"371","1",A,37000
"372","1",A,37100
"373","1",A,37200
"374","1",A,37300
"375","1",A,37400
"376","1",A,37500
"377","1",A,37600
"378","1",A,37700
"379","1",A,37800
"380","1",A,37900
"381","1",A,38000
"382","1",A,38100
"383","1",A,38200
"384","1",A,38300
"385","1",A,38400
"386","1",A,38500
"387","1",A,38600
"388","1",A,38700
"389","1",A,38800
"390","1",A,38900
"391","1",A,39000
"392","1",A,39100
"393","1",A,39200
"394","1",A,39300
"395","1",A,39400
"396","1",A,39500
"397","1",A,39600
"398","1",A,39700
"399","1",A,39800
"400","1",A,39900
"401","1",A,40000
"402","1",A,40100
"403","1",A,40200
"404","1",A,40300
"405","1",A,40400
"406","1",A,40500
"407","1",A,40600
"408","1",A,40700
"409","1",A,40800
"410","1",A,40900
"411","1",A,41000
"412","1",A,41100
"413","1",A,41200
"414","1",A,41300
"415","1",A,41400
"416","1",A,41500
"417","1",A,41600
"418","1",A,41700
"419","1",A,41800
"420","1",A,41900
"421","1",A,42000
"422","1",A,42100
"423","1",A,42200
"424","1",A,42300
"425","1",A,42400
"426","1",A,42500
"427","1",A,42600
"428","1",A,42700
"429","1",A,42800
"430","1",A,42900
"431","1",A,43000
"432","1",A,43100
"433","1",A,43200
"434","1",A,43300
"435","1",A,43400
"436","1",A,43500
"437","1",A,43600
"438","1",A,43700
"439","1",A,43800
"440","1",A,43900
"441","1",A,44000
"442","1",A,44100
"443","1",A,44200
"444","1",A,44300
"445","1",A,44400
"446","1",A,44500
"447","1",A,44600
"448","1",A,44700
"449","1",A,44800
"450","1",A,44900
"451","1",A,45000
"452","1",A,45100
"453","1",A,45200
"454","1",A,45300
"455","1",A,45400
"456","1",A,45500
"457","1",A,45600
"458","1",A,45700
"459","1",A,45800
"460","1",A,45900
"461","1",A,46000
"462","1",A,46100
"463","1",A,46200
"464","1",A,46300
"465","1",A,46400
"466","1",A,46500
"467","1",A,46600
"468","1",A,46700
"469","1",A,46800
"470","1",A,46900
"471","1",A,47000
"472","1",A,47100
"473","1",A,47200
"474","1",A,47300
"475","1",A,47400
"476","1",A,47500
"477","1",A,47600
"478","1",A,47700
"479","1",A,47800
"480","1",A,47900
"481","1",A,48000
"482","1",A,48100
"483","1",A,48200
"484","1",A,48300
"485","1",A,48400
"486","1",A,48500
"487","1",A,48600
"488","1",A,48700
"489","1",A,48800
"490","1",A,48900
"491","1",A,49000
"492","1",A,49100
"493","1",A,49200
"494","1",A,49300
"495","1",A,49400
"496","1",A,49500
"497","1",A,49600
"498","1",A,49700
"499","1",A,49800
"500","1",A,49900
"501","1",A,50000
"502","1",A,50100
"503","1",A,50200
"504","1",A,50300
