"LOCALITY","DISTANCE","TRANSECT"
"Bardawil",0,"A"
"Bahiret-el-Bibane",2455.2,"A"
"Chergui",2647.5,"A"
"Tunis",2933.3,"A"
"Tunis2",3097.9,"A"
"Bizerte",3134.3,"A"
"Tabarka",3259.3,"A"
"Lake-Mellach",3308.7,"A"
"Annaba",3368.1,"A"
"Rabat",5120.1,"A"
"Dakar",7950.1,"A"
